StageId	ModelId	NpcId
30301401	Mb1BaiyangnvMd010001	8380
30301402	Mb1BaiyangnvMd010001	8380
30301403	Mb1BaiyangnvMd010001	8380
30301404	Mb1BaiyangnvMd010001	8380
30301405	Mb1BaiyangnvMd010001	8380
30301501	Mb1AolajiangMd010001	8370
30301502	Mb1AolajiangMd010001	8370
30301503	Mb1AolajiangMd010001	8370
30301504	Mb1AolajiangMd010001	8370
30301505	Mb1AolajiangMd010001	8370
30301601	Mb1MajiyaweiliMd010001UI	8420
30301602	Mb1MajiyaweiliMd010001UI	8420
30301603	Mb1MajiyaweiliMd010001UI	8420
30301604	Mb1MajiyaweiliMd010001UI	8420
30301605	Mb1MajiyaweiliMd010001UI	8420
30301701	Mb1XigeluenMd010002UI	8410
30301702	Mb1XigeluenMd010002UI	8410
30301703	Mb1XigeluenMd010002UI	8410
30301704	Mb1XigeluenMd010002UI	8410
30301705	Mb1XigeluenMd010002UI	8410
30301801	Mb1SirenMd010001UI	8430
30301802	Mb1SirenMd010001UI	8430
30301803	Mb1SirenMd010001UI	8430
30301804	Mb1SirenMd010001UI	8430
30301805	Mb1SirenMd010001UI	8430
30301901	Mb1MelodyMd010001	8350
30301902	Mb1MelodyMd010001	8350
30301903	Mb1MelodyMd010001	8350
30301904	Mb1MelodyMd010001	8350
30301905	Mb1MelodyMd010001	8350
30302001	Mb1LunaMd010001UI	8390
30302002	Mb1LunaMd010001UI	8390
30302003	Mb1LunaMd010001UI	8390
30302004	Mb1LunaMd010001UI	8390
30302005	Mb1LunaMd010001UI	8390
30302101	Mb1LamiyaMd010001UI	8460
30302102	Mb1LamiyaMd010001UI	8460
30302103	Mb1LamiyaMd010001UI	8460
30302104	Mb1LamiyaMd010001UI	8460
30302105	Mb1LamiyaMd010001UI	8460
30302201	Mb1VoodooMd010001UI	8450
30302202	Mb1VoodooMd010001UI	8450
30302203	Mb1VoodooMd010001UI	8450
30302204	Mb1VoodooMd010001UI	8450
30302205	Mb1VoodooMd010001UI	8450
30302301	Mb1PunishdataMd010001UI	8481
30302302	Mb1PunishdataMd010001UI	8481
30302303	Mb1PunishdataMd010001UI	8481
30302304	Mb1PunishdataMd010001UI	8481
30302305	Mb1PunishdataMd010001UI	8481
30302401	Mb1HamuleiteMd010001UI	8490
30302402	Mb1HamuleiteMd010001UI	8490
30302403	Mb1HamuleiteMd010001UI	8490
30302404	Mb1HamuleiteMd010001UI	8490
30302405	Mb1HamuleiteMd010001UI	8490
30302501	Mb1MoonguyMd010001UI	8530
30302502	Mb1MoonguyMd010001UI	8530
30302503	Mb1MoonguyMd010001UI	8530
30302504	Mb1MoonguyMd010001UI	8530
30302505	Mb1MoonguyMd010001UI	8530
30302601	Mb1AolajiangMd010002	8370
30302602	Mb1AolajiangMd010002	8370
30302603	Mb1AolajiangMd010002	8370
30302604	Mb1AolajiangMd010002	8370
30302605	Mb1AolajiangMd010002	8370
30302701	Mb1TifaMd010001UI	8172
30302702	Mb1TifaMd010001UI	8172
30302703	Mb1TifaMd010001UI	8172
30302704	Mb1TifaMd010001UI	8172
30302705	Mb1TifaMd010001UI	8172
30302801	Mb1MaidmasterMd010002UI	8555
30302802	Mb1MaidmasterMd010002UI	8555
30302803	Mb1MaidmasterMd010002UI	8555
30302804	Mb1MaidmasterMd010002UI	8555
30302805	Mb1MaidmasterMd010002UI	8555
30302901	Mb1StarknightMd010001UI	8510
30302902	Mb1StarknightMd010001UI	8510
30302903	Mb1StarknightMd010001UI	8510
30302904	Mb1StarknightMd010001UI	8510
30302905	Mb1StarknightMd010001UI	8510
30303001	Mb1LilithMd010001UI	8557
30303002	Mb1LilithMd010001UI	8557
30303003	Mb1LilithMd010001UI	8557
30303004	Mb1LilithMd010001UI	8557
30303005	Mb1LilithMd010001UI	8557
30303101	Mb1BruceloongMd010001UI	8756
30303102	Mb1BruceloongMd010001UI	8756
30303103	Mb1BruceloongMd010001UI	8756
30303104	Mb1BruceloongMd010001UI	8756
30303105	Mb1BruceloongMd010001UI	8756
30303201	Mb1EmperorMd010001UI	8567
30303202	Mb1EmperorMd010001UI	8567
30303203	Mb1EmperorMd010001UI	8567
30303204	Mb1GeneralMd010001UI	8565
30303205	Mb1GeneralMd010001UI	8565
30303206	Mb1GeneralMd010001UI	8565
30303207	Mb1LamiyaMd010001UI	8460
30303208	Mb1LamiyaMd010001UI	8460
30303209	Mb1LamiyaMd010001UI	8460
30303210	Mb1StarknightMd010001UI	8510
30303211	Mb1StarknightMd010001UI	8510
30303212	Mb1StarknightMd010001UI	8510
30303213	Mb1KeeleyMd010001UI	8575
30303214	Mb1KeeleyMd010001UI	8575
30303215	Mb1KeeleyMd010001UI	8575
30303225	Mb1TitanMd010001UI	8730
30303226	Mb1TitanMd010001UI	8730
30303227	Mb1TitanMd010001UI	8730
30303228	Mb1TifaMd010001UI	8172
30303229	Mb1TifaMd010001UI	8172
30303230	Mb1TifaMd010001UI	8172
30303231	Mb1TifaMd010001UI	8172
30303232	Mb1TifaMd010001UI	8172
30303233	Mb1TifaMd010001UI	8172
30303234	Mb1ScorpionMd010001UI	8775
30303235	Mb1ScorpionMd010001UI	8775
30303236	Mb1ScorpionMd010001UI	8775
30303237	Mb1KeeleyMd010001UI	8575
30303238	Mb1KeeleyMd010001UI	8575
30303239	Mb1KeeleyMd010001UI	8575
30303240	Mb1MelodyhuaxugaiMd010001UI	8027
30303241	Mb1MelodyhuaxugaiMd010001UI	8027
30303242	Mb1MelodyhuaxugaiMd010001UI	8027
30303243	Mb1MelodyhuaxugaiMd010001UI	8027
30303244	Mb1MelodyhuaxugaiMd010001UI	8027
30303245	Mb1MelodyhuaxugaiMd010001UI	8027
30303246	Mb1MercyMd010001UI	8535
30303247	Mb1MercyMd010001UI	8535
30303248	Mb1MercyMd010001UI	8535
30303249	Mb1MonzanoMd010001UI	8047
30303250	Mb1MonzanoMd010001UI	8047
30303251	Mb1MonzanoMd010001UI	8047
30303252	Mb1JusticeMd010001UI	8037
30303253	Mb1JusticeMd010001UI	8037
30303254	Mb1JusticeMd010001UI	8037
30303255	Mb1ChainsawkillerMd010001UI	8040
30303256	Mb1ChainsawkillerMd010001UI	8040
30303257	Mb1ChainsawkillerMd010001UI	8040
30303258	Mb1GodzillaMd010001UI	8028
30303259	Mb1GodzillaMd010001UI	8028
30303260	Mb1GodzillaMd010001UI	8028
30303261	Mb1EphialtesMd010001UI	8036
30303262	Mb1EphialtesMd010001UI	8036
30303263	Mb1EphialtesMd010001UI	8036
30303264	Mb1ElpisMd010001UI	8053
30303265	Mb1ElpisMd010001UI	8053
30303266	Mb1ElpisMd010001UI	8053
30303267	Mb1RegulatorMd010001UI	9122
30303268	Mb1RegulatorMd010001UI	9122
30303269	Mb1RegulatorMd010001UI	9122
30303270	Mb1MelinoeMd010001UI	8060
30303271	Mb1MelinoeMd010001UI	8060
30303272	Mb1MelinoeMd010001UI	8060
30303273	Mb1MoonguyMd010001UI	8530
30303274	Mb1MoonguyMd010001UI	8530
30303275	Mb1MoonguyMd010001UI	8530
30303276	Mb1GodzillaMd010001UI	8028
30303277	Mb1GodzillaMd010001UI	8028
30303278	Mb1GodzillaMd010001UI	8028
30303279	Mb1MoineauMd010001UI	8063
30303280	Mb1MoineauMd010001UI	8063
30303281	Mb1MoineauMd010001UI	8063
